,id,group.id,treatment,trial,conf.HA,conf.SA,sel.adv,sel.adv.gr,conf.sel.adv,conf.unsel.adv,confirm.oppose,won,HA.correct,SA.correct,changed,dominant.balls,total.players,majmin
176,57,303,Individuals in voting groups,4,2,-2,0,0,2,-2,1,1,0,0,0,50,NA,majority
177,57,303,Individuals in voting groups,5,1,-4,0,0,1,-4,1,1,0,0,0,50,NA,majority
178,57,303,Individuals in voting groups,6,1,-3,0,0,1,-3,1,0,0,0,1,50,NA,majority
179,57,303,Individuals in voting groups,7,1,-4,1,0,1,-4,1,0,0,0,0,50,NA,minority
180,57,303,Individuals in voting groups,8,1,2,1,1,2,1,0,1,0,0,0,50,NA,majority
181,57,303,Individuals in voting groups,9,1,-4,1,0,1,-4,1,0,0,0,0,50,NA,minority
182,57,303,Individuals in voting groups,10,2,2,1,1,2,2,0,1,0,0,0,50,NA,majority
183,57,303,Individuals in voting groups,11,1,1,1,1,1,1,0,0,0,0,0,50,NA,majority
184,57,303,Individuals in voting groups,12,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
185,57,303,Individuals in voting groups,13,3,3,1,1,3,3,0,1,0,0,0,90,NA,majority
186,57,303,Individuals in voting groups,14,1,2,1,1,2,1,0,1,0,0,0,50,NA,majority
187,57,303,Individuals in voting groups,15,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
188,57,303,Individuals in voting groups,16,3,4,1,1,4,3,0,1,0,0,0,90,NA,majority
189,57,303,Individuals in voting groups,17,1,1,1,1,1,1,0,0,0,0,0,50,NA,majority
190,57,303,Individuals in voting groups,18,4,5,1,1,5,4,0,1,0,0,0,90,NA,majority
191,57,303,Individuals in voting groups,19,2,2,1,1,2,2,0,1,0,0,0,50,NA,majority
192,57,303,Individuals in voting groups,20,4,3,1,1,3,4,0,0,0,0,NA,90,NA,majority
193,85,303,Individuals in voting groups,1,5,5,0,0,5,5,0,1,0,0,0,90,NA,majority
194,85,303,Individuals in voting groups,2,2,-3,0,0,2,-3,1,1,0,0,0,50,NA,majority
195,85,303,Individuals in voting groups,3,1,-3,0,0,1,-3,1,1,0,0,0,50,NA,majority
196,85,303,Individuals in voting groups,4,1,-3,0,0,1,-3,1,1,0,0,0,50,NA,majority
197,85,303,Individuals in voting groups,5,2,-4,0,0,2,-4,1,1,0,0,0,50,NA,majority
198,85,303,Individuals in voting groups,6,1,-3,0,0,1,-3,1,0,0,0,0,50,NA,majority
199,85,303,Individuals in voting groups,7,1,-3,0,0,1,-3,1,0,0,0,1,50,NA,majority
200,85,303,Individuals in voting groups,8,2,1,1,1,1,2,0,1,0,0,0,50,NA,majority
201,85,303,Individuals in voting groups,9,1,-4,1,0,1,-4,1,0,0,0,0,50,NA,minority
202,85,303,Individuals in voting groups,10,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
203,85,303,Individuals in voting groups,11,1,1,1,1,1,1,0,0,0,0,0,50,NA,majority
204,85,303,Individuals in voting groups,12,1,2,1,1,2,1,0,1,0,0,0,50,NA,majority
205,85,303,Individuals in voting groups,13,4,3,1,1,3,4,0,1,0,0,0,90,NA,majority
206,85,303,Individuals in voting groups,14,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
207,85,303,Individuals in voting groups,15,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
208,85,303,Individuals in voting groups,16,4,5,1,1,5,4,0,1,0,0,0,90,NA,majority
209,85,303,Individuals in voting groups,17,1,2,1,1,2,1,0,0,0,0,0,50,NA,majority
