,id,trial,treatment,conf.HA,conf.SA,sel.adv,conf.sel.adv,conf.unsel.adv,confirm.oppose,won,HA.correct,SA.correct,changed,dominant.balls
264,14,4,Individuals,1,-2,0,1,-2,1,0,0,1,0,50
265,14,5,Individuals,4,4,0,4,4,0,1,1,1,0,90
266,14,6,Individuals,4,4,0,4,4,0,1,1,1,0,90
267,14,7,Individuals,4,4,0,4,4,0,1,1,1,0,90
268,14,8,Individuals,5,5,0,5,5,0,1,1,1,0,90
269,14,9,Individuals,1,-4,0,1,-4,1,1,1,0,0,50
270,14,10,Individuals,5,5,0,5,5,0,1,1,1,0,90
271,14,11,Individuals,1,-4,0,1,-4,1,1,1,0,0,50
272,14,12,Individuals,2,-4,0,2,-4,1,0,0,1,1,50
273,14,13,Individuals,1,2,1,2,1,0,1,1,1,0,50
274,14,14,Individuals,1,1,1,1,1,0,1,1,1,0,50
275,14,15,Individuals,2,1,1,1,2,0,0,0,0,1,50
276,14,16,Individuals,1,-3,0,1,-3,1,1,1,0,0,50
277,14,17,Individuals,1,-2,0,1,-2,1,1,1,0,0,50
278,14,18,Individuals,2,-2,0,2,-2,1,0,0,1,1,50
279,14,19,Individuals,1,1,1,1,1,0,0,0,0,1,50
280,14,20,Individuals,1,-2,0,1,-2,1,1,1,0,NA,50
281,15,1,Individuals,1,-3,0,1,-3,1,0,0,1,0,50
282,15,2,Individuals,2,-3,0,2,-3,1,1,1,0,0,50
283,15,3,Individuals,2,-2,0,2,-2,1,0,0,1,1,50
284,15,4,Individuals,2,1,1,1,2,0,0,0,0,0,50
285,15,5,Individuals,1,2,1,2,1,0,0,0,0,0,50
286,15,6,Individuals,1,1,1,1,1,0,1,1,1,1,50
287,15,7,Individuals,1,-3,0,1,-3,1,1,1,0,1,50
288,15,8,Individuals,2,1,1,1,2,0,1,1,1,1,50
289,15,9,Individuals,1,-4,0,1,-4,1,0,0,1,0,50
290,15,10,Individuals,2,-2,0,2,-2,1,1,1,0,1,50
291,15,11,Individuals,5,5,1,5,5,0,1,1,1,0,90
292,15,12,Individuals,2,1,1,1,2,0,1,1,1,0,50
293,15,13,Individuals,2,1,1,1,2,0,0,0,0,0,50
294,15,14,Individuals,4,4,1,4,4,0,1,1,1,0,90
295,15,15,Individuals,1,2,1,2,1,0,0,0,0,0,50
296,15,16,Individuals,1,1,1,1,1,0,1,1,1,0,50
297,15,17,Individuals,4,4,1,4,4,0,1,1,1,0,90
298,15,18,Individuals,5,3,1,3,5,0,0,0,0,1,90
299,15,19,Individuals,5,4,0,5,4,0,1,1,1,0,90
300,15,20,Individuals,1,-2,0,1,-2,1,0,0,1,NA,50
301,16,1,Individuals,5,4,0,5,4,0,1,1,1,0,90
302,16,2,Individuals,4,5,0,4,5,0,1,1,1,1,90
303,16,3,Individuals,4,5,1,5,4,0,1,1,1,1,90
304,16,4,Individuals,1,-3,0,1,-3,1,0,0,1,0,50
305,16,5,Individuals,2,-2,0,2,-2,1,0,0,1,1,50
306,16,6,Individuals,1,1,1,1,1,0,0,0,0,0,50
307,16,7,Individuals,1,1,1,1,1,0,1,1,1,1,50
308,16,8,Individuals,1,-3,0,1,-3,1,0,0,1,1,50
309,16,9,Individuals,1,1,1,1,1,0,0,0,0,1,50
310,16,10,Individuals,1,-4,0,1,-4,1,1,1,0,0,50
311,16,11,Individuals,2,-2,0,2,-2,1,1,1,0,0,50
312,16,12,Individuals,1,-2,0,1,-2,1,0,0,1,0,50
313,16,13,Individuals,1,-2,0,1,-2,1,0,0,1,1,50
314,16,14,Individuals,4,5,1,5,4,0,1,1,1,0,90
315,16,15,Individuals,2,1,1,1,2,0,1,1,1,0,50
316,16,16,Individuals,5,4,1,4,5,0,1,1,1,1,90
317,16,17,Individuals,1,-4,0,1,-4,1,0,0,1,1,50
318,16,18,Individuals,1,1,1,1,1,0,1,1,1,0,50
